analysis_id,gene_accession_id,gene_symbol,mouse_strain,mouse_life_stage,parameter_id,pvalue,parameter_name
0000x124n57to39,MGI:107417,Slc50a1,C57BL,Early Adult,IMPC_OFD_016_001,0.8761275,Center permanence time
00014ee5r83c493,MGI:2138297,Sh3bp4,C57BL,Early Adult,IMPC_EYE_092_001,0.05349072,Retina (combined)
0005031k3d05371,MGI:2444807,Zfp827,C57BL,Late Adult,IMPC_HEM_003_001,0.8471315,Hemoglobin
000880ri440715c,MGI:2442190,Camk1d,C57BL,Middle Aged Adult,ESLIM_007_001_008,0.7341197,Periphery permanence time
000l16ti7548463,MGI:2444069,Vwc2l,C57BL,Early Adult,IMPC_XRY_060_001,0.5045483,Transitional vertebrae
000ng6913ewxm2f,MGI:1919822,Spats2,C57BL,Early Adult,IMPC_EYE_008_001,0.1141246,Corneal opacity
000ydnxew82rtgq,MGI:2443138,Mphosph9,C57BL,Early Adult,JAXLA_CSD_015_001,0.9914075,Coat - hair texture / appearance - head
0010brt3akkbe98,MGI:2146818,Oard1,C57BL,Early Adult,CCP_LFO_004_001,0.5562276,Esn
0010x6lo94h7m3h,MGI:96877,Klrb1,C57BL,Late Adult,IMPC_CBC_009_001,0.4263987,Calcium
00155940e6l764i,MGI:891978,Phyh,C57BL,Early Adult,IMPC_GEP_004_002,0.6902716,Spontaneous movement
00180es02m550c1,MGI:1276578,Gfi1b,C57BL,Early Adult,ESLIM_007_001_003,0.7234352,Whole arena resting time
001ajditzp4qu6o,MGI:96877,Klrb1,C57BL,Middle Aged Adult,JAXLA_CSD_009_001,0.07630388,Coat - color pattern - head
001w8aocuj74y4q,MGI:97748,Ctsa,C57BL,Early Adult,IMPC_ABR_004_001,0.8550983,6kHz-evoked ABR Threshold
0022k4o99i5f7k0,MGI:109564,Kif5a,C57BL,Early Adult,IMPC_CBC_004_001,0.6825902,Urea (Blood Urea Nitrogen - BUN)
0022x7eu6et1s26,MGI:103206,Acod1,C57BL,Early Adult,ESLIM_018_001_005,0.1414894,B cell CD19+ percentage
00243d3uq12jpg1,MGI:95496,Fcer1g,C57BL,Early Adult,IMPC_EYE_056_001,0.5774124,Mean left eye lens density
0025tuc8480y216,MGI:2444807,Zfp827,C57BL,Late Adult,ESLIM_008_001_016,0.1460921,Trunk curl
002s504560e2q7c,MGI:1342774,Ppargc1a,C57BL,Early Adult,ESLIM_001_001_004,0.4188779,adult mouse length
0030bmt9xvp8ga1,MGI:1924127,Rab36,C57BL,Early Adult,JAXLA_CSD_015_001,0.3390931,Coat - hair texture / appearance - head
0033dlqj94p619j,MGI:2146818,Oard1,C57BL,Early Adult,CCP_XRY_001_001,0.5992067,Skull shape
0035oa824oyg7gz,MGI:891978,Phyh,C57BL,Early Adult,IMPC_DXA_007_001,0.4035688,BMC/Body weight
003al4hn84e0l1l,MGI:1925847,Fhod3,C57BL,E9.5,IMPC_GEL_036_002,0.7487684,Pallor
003k3720815o3sz,MGI:1345153,Pacsin2,C57BL,Early Adult,IMPC_CBC_007_001,0.05391731,Albumin
003wr57h2f897mz,MGI:2158736,Senp3,C57BL,Early Adult,TCPLA_DXA_007_001,0.6813574,BMC/Body weight
003ye2uwemld0js,MGI:99402,Adora2a,C57BL,Early Adult,IMPC_CSD_005_001,0.5673432,Coat - color - back
00402am214ofwm6,MGI:104673,Ptpn12,C57BL,E12.5,ESLIM_001_001_009,0.8672054,Coat colouration
0041777lu6q3h7e,MGI:2444155,Nmnat2,C57BL,E9.5,IMPC_EYE_016_001,0.8361693,Lens
00459uvz7b2rjg5,MGI:1349410,Triobp,C57BL,Early Adult,IMPC_OFD_011_001,0.1833781,Periphery resting time
0049061l2iy2g1i,MGI:99402,Adora2a,C57BL,Middle Aged Adult,IMPC_EYE_063_001,0.7141396,Right inner nuclear layer
004e3sl329fs3e1,MGI:3648285,Gm5127,C57BL,Early Adult,IMPC_EYE_024_001,0.856143,Retinal Blood Vessels
004g18yyh0grxwg,MGI:2146818,Oard1,C57BL,Early Adult,IMPC_XRY_067_001,0.7965359,Caudal processes
004io51de65a6l2,MGI:893577,Stx4a,C57BL,Early Adult,JAXLA_DXA_009_001,0.3818973,Fat/Body weight
004x8kwl3ds1479,MGI:96877,Klrb1,C57BL,Middle Aged Adult,ESLIM_001_001_157,0.06240311,hindlimb thickness
004z837cfw8v530,MGI:2686460,Prob1,C57BL,Early Adult,IMPC_CBC_015_001,0.4351174,Total cholesterol
