impcParameterOrigId,parameter_name,description,parameter_id
17587,Forelimb grip strength measurement,Forelimb Grip Strength Measurement,IMPC_GRS_001_001
17588,Forelimb and hindlimb grip strength measurement,Forelimb And Hindlimb Grip Strength Measurement,IMPC_GRS_002_001
17589,Body weight,Body Weight,IMPC_GRS_003_001
17590,General comments about the mouse,General Comments About The Mouse,IMPC_GRS_004_001
17591,Equipment ID,Equipment Name,IMPC_GRS_005_001
17592,Equipment manufacturer,Equipment Manufacturer,IMPC_GRS_006_001
17593,Grid model,Grid Model,IMPC_GRS_007_001
17594,Forelimb grip strength measurement mean,Forelimb Grip Strength Measurement Mean,IMPC_GRS_008_001
17595,Forelimb and hindlimb grip strength measurement mean,Forelimb And Hindlimb Grip Strength Measurement Mean,IMPC_GRS_009_001
17596,Forelimb grip strength normalised against body weight,Forelimb Grip Strength Normalised Against Body Weight,IMPC_GRS_010_001
17597,Forelimb and hindlimb grip strength normalised against body weight,Forelimb And Hindlimb Grip Strength Normalised Against Body Weight,IMPC_GRS_011_001
17598,Experimenter ID,"",IMPC_GRS_012_001
17599,Equipment model,"",IMPC_GRS_013_001
17600,Date equipment last calibrated,"",IMPC_GRS_014_001
27568,Adrenal gland,Adrenal,IMPC_ALZ_001_001
27569,Lower Urinary Tract,Lower Urinary Tract,IMPC_ALZ_002_001
27570,Brain,Brain,IMPC_ALZ_003_001
27571,Eye,Eye,IMPC_ALZ_004_001
27572,Heart,Heart,IMPC_ALZ_005_001
27573,Kidney,Kidney,IMPC_ALZ_006_001
27574,Liver,Liver,IMPC_ALZ_007_001
27575,Lymph Node,Lymph Node,IMPC_ALZ_008_001
27576,Mammary gland,Mammary Gland,IMPC_ALZ_009_001
27577,Ovary,Ovary,IMPC_ALZ_010_001
27578,Oviduct,Oviduct,IMPC_ALZ_011_001
27579,Skin,Skin With Mg,IMPC_ALZ_012_001
27580,Stomach,Stomach,IMPC_ALZ_013_001
27581,Testis,Testis Epididymus,IMPC_ALZ_014_001
27582,Thymus,Thymus,IMPC_ALZ_015_001
27583,Trachea,Trachea,IMPC_ALZ_016_001
27584,Uterus,Uterus,IMPC_ALZ_017_001
27585,Large Intestine,Large Intestine,IMPC_ALZ_018_001
27586,Esophagus,Esophagus,IMPC_ALZ_019_001
27587,Spinal cord,Spinal Cord,IMPC_ALZ_020_001
27588,Thyroid gland,Thyroid,IMPC_ALZ_021_001
27589,Pituitary gland,Pituitary,IMPC_ALZ_022_001
27590,Skeletal Muscle,Skeletal Muscle,IMPC_ALZ_023_001
27591,Small Intestine,Small Intestine,IMPC_ALZ_024_001
27592,White Adipose Tissue,White Adipose Tissue,IMPC_ALZ_025_001
27593,Lung,Lungs,IMPC_ALZ_026_001
27594,Aorta,Aorta,IMPC_ALZ_027_001
27595,Pancreas,Pancreas,IMPC_ALZ_028_001
27596,Prostate gland,Prostate,IMPC_ALZ_029_001
27597,Spleen,Spleen,IMPC_ALZ_030_001
27598,Brainstem,Brainstem,IMPC_ALZ_031_001
27599,Cartilage tissue,Cartilage,IMPC_ALZ_032_001
27600,Cerebral Cortex,Cerebral Cortex,IMPC_ALZ_033_001
27601,Cerebellum,Cerebellum,IMPC_ALZ_034_001
27602,Hippocampus,Hippocampus,IMPC_ALZ_035_001
27603,Hypothalamus,Hypothalamus,IMPC_ALZ_036_001
27604,Olfactory Lobe,Olfactory Lobe,IMPC_ALZ_037_001
27605,Peripheral Nervous System,Peripheral Nervous System,IMPC_ALZ_038_001
27606,Peyers Patch,Peyers Patch,IMPC_ALZ_039_001
27607,Striatum,Straiatum,IMPC_ALZ_040_001
